cases,seed,method,dissipation_coverage,dissipation_width,dissipation_error,steepness_coverage,steepness_width,steepness_error,converged,n_iter,n_fev,n_skipped,n_nonfinite,termination_status,termination_message,max_iter,max_fun
8,0,Bayesian ridge,0.5166666666666667,0.21590622590449862,0.11274916444887288,0.3333333333333333,0.17055506792338615,0.22026290713860444,,,,,,,,,
8,0,POPS hypercube,0.5,0.207957210405317,0.11579537671358103,0.4166666666666667,0.1646134486414591,0.24439514328672063,,,,,,,,,
8,0,POPS ellipse,0.5833333333333334,0.20629309964993683,0.11154501248784951,0.4,0.24698118315168816,0.2206718854290125,,,,,,,,,
8,0,Ellipse+EB,0.7166666666666667,0.46530815275837933,0.11768393184909803,0.5166666666666667,0.4040807682340599,0.22158677426347906,,,,,,,,,
8,0,Ellipse+PAC,0.75,0.8707221999901926,0.14151815455436717,0.6333333333333333,0.7065820556352953,0.26320414509466283,,,,,,,,,
8,0,Bayesian stacking,0.6,0.4578528026124117,0.11754950567032058,0.3333333333333333,0.3128703483291048,0.2964850430886923,,,,,,,,,
8,0,PVI,0.48333333333333334,0.17187681213257727,0.11378120475378287,0.45,0.2424397968729104,0.23377918910627563,True,20000.0,20000.0,0.0,,,,,
8,0,PACm,0.65,0.29103232227933284,0.07420238166491773,0.4166666666666667,0.2573160231882673,0.21962455337617748,True,601.0,638.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,0,PAC2-T,0.03333333333333333,0.011747514184951898,0.10335389481753657,0.05,0.009831193848919619,0.22406793529163876,True,6368.0,6774.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,1,Bayesian ridge,0.5333333333333333,0.3711483653999599,0.1282183098132864,0.4166666666666667,0.22523824103315115,0.18310127665874115,,,,,,,,,
8,1,POPS hypercube,0.5166666666666667,0.269559191020604,0.12983843289428962,0.3,0.1467388918569279,0.17643771491231539,,,,,,,,,
8,1,POPS ellipse,0.85,0.6041408144714553,0.13242295655623593,0.55,0.3409567498040641,0.18168044672226627,,,,,,,,,
8,1,Ellipse+EB,0.9833333333333333,0.8834357371630175,0.14216315153804363,0.7166666666666667,0.4876814420180533,0.17498497356127474,,,,,,,,,
8,1,Ellipse+PAC,1.0,47.90465805381071,0.5787358616656147,1.0,4.057449390507617,0.3177041358321425,,,,,,,,,
8,1,Bayesian stacking,0.8666666666666667,1.0534435554683486,0.08943884342688432,0.6333333333333333,0.7353753152903831,0.16570273573632588,,,,,,,,,
8,1,PVI,0.6,0.5117193717975652,0.1297671419990054,0.43333333333333335,0.2656540375745474,0.19910342345716106,True,20000.0,20000.0,0.0,,,,,
8,1,PACm,0.7,0.5528867738993739,0.12986782043608344,0.5166666666666667,0.3516504763039805,0.19416515892061698,True,378.0,403.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,1,PAC2-T,0.05,0.01582823831383743,0.12773286816155502,0.03333333333333333,0.009781628130066635,0.1794989108931525,True,4424.0,4666.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,2,Bayesian ridge,0.9666666666666667,0.5294452502371961,0.07797728233914814,0.5666666666666667,0.35015466465658046,0.24675627333923855,,,,,,,,,
8,2,POPS hypercube,0.65,0.3505284576003777,0.14670480766381022,0.23333333333333334,0.26982302209531805,0.26568374102302944,,,,,,,,,
8,2,POPS ellipse,0.9833333333333333,0.797002619277221,0.07324803109521086,0.65,0.5280661314926625,0.2263181904158617,,,,,,,,,
8,2,Ellipse+EB,1.0,0.9478033525123468,0.06904550889392072,0.7,0.6285023629012361,0.2189255948605381,,,,,,,,,
8,2,Ellipse+PAC,0.9666666666666667,3.3710849762046777,0.14413463258319342,0.95,1.2206431017288542,0.16685096532301008,,,,,,,,,
8,2,Bayesian stacking,1.0,0.8754666234643984,0.15382480594969253,0.5166666666666667,0.5886764791009467,0.37530426868919053,,,,,,,,,
8,2,PVI,0.7166666666666667,0.5881738143401978,0.14466910503730945,0.36666666666666664,0.3372253053258154,0.25837320071444875,True,20000.0,20000.0,0.0,,,,,
8,2,PACm,0.9333333333333333,0.725928629788867,0.11515056464181328,0.5,0.38075978621505735,0.23309387949348617,True,548.0,582.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,2,PAC2-T,0.03333333333333333,0.024502041499408024,0.14087981782274983,0.0,0.015139588025763089,0.27276800460133976,True,7038.0,7480.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,3,Bayesian ridge,0.2833333333333333,0.1405059968603456,0.1690746584758283,0.16666666666666666,0.1114282837091773,0.2378214881283236,,,,,,,,,
8,3,POPS hypercube,0.18333333333333332,0.09286548636308328,0.1426053203015053,0.15,0.09163894697021585,0.21331345615648573,,,,,,,,,
8,3,POPS ellipse,0.36666666666666664,0.27213900737852165,0.1651689080846409,0.26666666666666666,0.21893753953541686,0.23565627710163778,,,,,,,,,
8,3,Ellipse+EB,0.5166666666666667,0.2998804202558736,0.1659358097475816,0.31666666666666665,0.248865078073031,0.23715588642967167,,,,,,,,,
8,3,Ellipse+PAC,1.0,2.4303861641735853,0.17701642872956946,0.6,0.5522880932685821,0.26372433212404234,,,,,,,,,
8,3,Bayesian stacking,0.3,0.2781682234304847,0.17826415965851955,0.31666666666666665,0.22874295586019477,0.25158083697087197,,,,,,,,,
8,3,PVI,0.4,0.16620732408978517,0.1480402338568032,0.31666666666666665,0.17939453919485063,0.2202776352975449,True,20000.0,20000.0,0.0,,,,,
8,3,PACm,0.5,0.2749888623831859,0.1395107023116699,0.35,0.21722250607123256,0.21712175813075513,True,261.0,282.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,3,PAC2-T,0.0,0.0062712863902452,0.1674367937838541,0.0,0.00483580433290968,0.23084518439518695,True,3431.0,3664.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
8,4,Bayesian ridge,0.5,0.33637442095682113,0.19803902575708898,0.4,0.259428466306528,0.29666274045097374,,,,,,,,,
8,4,POPS hypercube,0.36666666666666664,0.3048162481204203,0.2226427262597041,0.25,0.22584322427586234,0.28921444796260715,,,,,,,,,
8,4,POPS ellipse,0.6833333333333333,0.4690154085989447,0.19861531046120506,0.35,0.32466718374326914,0.2980919055064626,,,,,,,,,
8,4,Ellipse+EB,0.7666666666666667,0.605770974035239,0.19982183213032276,0.5,0.43984299213079947,0.2941904571990196,,,,,,,,,
