problem,size,seed,n_units,n_test_units,units_per_param,fold,prior_std,n_prior_draws,test_unit_fraction,softmax_median,softmax_spread
quartic,20.0,0,20,2000,4.0,0,1.0,64,0.25,1.5763471506697115,0.3175212300360881
quartic,20.0,0,20,2000,4.0,0,1.0,256,0.25,1.6069081215663503,0.36439994965886413
quartic,20.0,0,20,2000,4.0,0,1.0,1024,0.25,1.6512555488802714,0.12590230460352747
quartic,20.0,0,20,2000,4.0,0,1.0,4096,0.25,1.7089926206853705,0.1262627075812992
quartic,20.0,0,20,2000,4.0,0,1.0,64,0.5,1.5765260942583863,0.37037131827342185
quartic,20.0,0,20,2000,4.0,0,1.0,256,0.5,1.5857865787655094,0.2179854862839572
quartic,20.0,0,20,2000,4.0,0,1.0,1024,0.5,1.7101172296948268,0.3348001658897679
quartic,20.0,0,20,2000,4.0,0,1.0,4096,0.5,1.6900687573669297,0.14775276348797028
quartic,20.0,0,20,2000,4.0,0,1.0,64,1.0,1.571732188870541,0.6443431934123101
quartic,20.0,0,20,2000,4.0,0,1.0,256,1.0,1.6680826469460706,0.4382343511287876
quartic,20.0,0,20,2000,4.0,0,1.0,1024,1.0,1.687079226311432,0.3850217572229646
quartic,20.0,0,20,2000,4.0,0,1.0,4096,1.0,1.6758552152645347,0.2542719223486789
quartic,20.0,0,20,2000,4.0,1,0.125,64,0.25,0.6884020913075881,0.12560533065937163
quartic,20.0,0,20,2000,4.0,1,0.125,256,0.25,0.693167412636434,0.1643144281126504
quartic,20.0,0,20,2000,4.0,1,0.125,1024,0.25,0.7219233858308166,0.11946779359704718
quartic,20.0,0,20,2000,4.0,1,0.125,4096,0.25,0.704647460242257,0.09835487632034545
quartic,20.0,0,20,2000,4.0,1,0.125,64,0.5,0.7076205235270976,0.07020588183550058
quartic,20.0,0,20,2000,4.0,1,0.125,256,0.5,0.7281113882560051,0.11773842597936568
quartic,20.0,0,20,2000,4.0,1,0.125,1024,0.5,0.7276321975937055,0.06627828612423492
quartic,20.0,0,20,2000,4.0,1,0.125,4096,0.5,0.7294896271553719,0.09047879390352043
quartic,20.0,0,20,2000,4.0,1,0.125,64,1.0,0.7153492519699549,0.030625176703241053
quartic,20.0,0,20,2000,4.0,1,0.125,256,1.0,0.723298983363821,0.011461031965463109
quartic,20.0,0,20,2000,4.0,1,0.125,1024,1.0,0.722667186631893,0.00521539660217174
quartic,20.0,0,20,2000,4.0,1,0.125,4096,1.0,0.7233808654301597,0.0035482978153864586
quartic,20.0,1,20,2000,4.0,0,0.125,64,0.25,0.6201225715478104,0.04825222376505112
quartic,20.0,1,20,2000,4.0,0,0.125,256,0.25,0.6250278550742472,0.04566557367722679
quartic,20.0,1,20,2000,4.0,0,0.125,1024,0.25,0.6217117590097099,0.05764178042423351
quartic,20.0,1,20,2000,4.0,0,0.125,4096,0.25,0.6459246768831755,0.07123959888751685
quartic,20.0,1,20,2000,4.0,0,0.125,64,0.5,0.6357996038885089,0.05076035144390589
quartic,20.0,1,20,2000,4.0,0,0.125,256,0.5,0.6348256470309229,0.04055263774136153
quartic,20.0,1,20,2000,4.0,0,0.125,1024,0.5,0.6303272244569509,0.023223246726703506
quartic,20.0,1,20,2000,4.0,0,0.125,4096,0.5,0.633233057433025,0.022167163304908866
quartic,20.0,1,20,2000,4.0,0,0.125,64,1.0,0.6373176730673721,0.015423930472630798
quartic,20.0,1,20,2000,4.0,0,0.125,256,1.0,0.6351213350592654,0.004144321566666331
quartic,20.0,1,20,2000,4.0,0,0.125,1024,1.0,0.6329434758090846,0.00301836988209625
quartic,20.0,1,20,2000,4.0,0,0.125,4096,1.0,0.6325497603600438,0.0011903948432373523
quartic,20.0,1,20,2000,4.0,1,1.0,64,0.25,2.1298730162840442,1.2454378074636911
quartic,20.0,1,20,2000,4.0,1,1.0,256,0.25,2.4942945867196245,0.9945248063573575
quartic,20.0,1,20,2000,4.0,1,1.0,1024,0.25,2.6205744088886718,0.6072181230691132
quartic,20.0,1,20,2000,4.0,1,1.0,4096,0.25,2.7365550867120474,0.4603420907161846
quartic,20.0,1,20,2000,4.0,1,1.0,64,0.5,1.9858673924457255,1.325522227942725
quartic,20.0,1,20,2000,4.0,1,1.0,256,0.5,2.461070168320271,0.8661104195800613
quartic,20.0,1,20,2000,4.0,1,1.0,1024,0.5,2.6484707237304557,0.6872264664217993
quartic,20.0,1,20,2000,4.0,1,1.0,4096,0.5,2.837615805378994,0.4057667315501905
quartic,20.0,1,20,2000,4.0,1,1.0,64,1.0,2.051834087704804,1.0496897679200452
quartic,20.0,1,20,2000,4.0,1,1.0,256,1.0,2.433055555439263,0.7589315258790563
quartic,20.0,1,20,2000,4.0,1,1.0,1024,1.0,2.666798490497113,0.7077235736897558
quartic,20.0,1,20,2000,4.0,1,1.0,4096,1.0,2.8224898073451175,0.4829944543126339
quartic,20.0,2,20,2000,4.0,0,0.125,64,0.25,0.8284503569588282,0.14346419324526138
quartic,20.0,2,20,2000,4.0,0,0.125,256,0.25,0.8283905298383023,0.1648755072284097
quartic,20.0,2,20,2000,4.0,0,0.125,1024,0.25,0.8241223927924812,0.15302374822282816
quartic,20.0,2,20,2000,4.0,0,0.125,4096,0.25,0.81303225758275,0.14477599394275464
quartic,20.0,2,20,2000,4.0,0,0.125,64,0.5,0.8352295500066493,0.04978913171939914
quartic,20.0,2,20,2000,4.0,0,0.125,256,0.5,0.8462922337851566,0.06258213504526156
quartic,20.0,2,20,2000,4.0,0,0.125,1024,0.5,0.8374964205433709,0.06246753967019836
quartic,20.0,2,20,2000,4.0,0,0.125,4096,0.5,0.8571166410956415,0.10279276572906226
quartic,20.0,2,20,2000,4.0,0,0.125,64,1.0,0.841041723133487,0.011600405345019493
quartic,20.0,2,20,2000,4.0,0,0.125,256,1.0,0.8416187858259008,0.005803348616407744
quartic,20.0,2,20,2000,4.0,0,0.125,1024,1.0,0.8429255436461341,0.002095642225739325
quartic,20.0,2,20,2000,4.0,0,0.125,4096,1.0,0.842336637747362,0.0011527180510785273
quartic,20.0,2,20,2000,4.0,1,0.125,64,0.25,0.818501951600207,0.17253901555148554
quartic,20.0,2,20,2000,4.0,1,0.125,256,0.25,0.8136129112784269,0.14724871925667016
quartic,20.0,2,20,2000,4.0,1,0.125,1024,0.25,0.8456779936066439,0.20144760622515123
quartic,20.0,2,20,2000,4.0,1,0.125,4096,0.25,0.8104942946549858,0.09683843788241564
quartic,20.0,2,20,2000,4.0,1,0.125,64,0.5,0.8192116499226763,0.0979196648419437
quartic,20.0,2,20,2000,4.0,1,0.125,256,0.5,0.8177198157075359,0.09403961188144705
quartic,20.0,2,20,2000,4.0,1,0.125,1024,0.5,0.8530200284828255,0.10303949347450758
quartic,20.0,2,20,2000,4.0,1,0.125,4096,0.5,0.8264480260598985,0.08498667398746695
quartic,20.0,2,20,2000,4.0,1,0.125,64,1.0,0.8180846031873801,0.013904026743551068
quartic,20.0,2,20,2000,4.0,1,0.125,256,1.0,0.8199148032052402,0.00579360160025133
quartic,20.0,2,20,2000,4.0,1,0.125,1024,1.0,0.821023904138799,0.0050359336910675845
quartic,20.0,2,20,2000,4.0,1,0.125,4096,1.0,0.8202252191982282,0.0016774019249596872
quartic,300.0,0,300,2000,60.0,0,0.125,64,0.25,0.8181083046623194,0.16313221351441665
quartic,300.0,0,300,2000,60.0,0,0.125,256,0.25,0.8423776764331188,0.1356915405663276
quartic,300.0,0,300,2000,60.0,0,0.125,1024,0.25,0.8361491419096074,0.16100758662262904
quartic,300.0,0,300,2000,60.0,0,0.125,4096,0.25,0.8538128904700917,0.23550183008099945
quartic,300.0,0,300,2000,60.0,0,0.125,64,0.5,0.7660975317335412,0.14323777691805883
quartic,300.0,0,300,2000,60.0,0,0.125,256,0.5,0.7945148730355505,0.15994856351197895
quartic,300.0,0,300,2000,60.0,0,0.125,1024,0.5,0.8423604216584792,0.14657630377462483
quartic,300.0,0,300,2000,60.0,0,0.125,4096,0.5,0.8669746345990262,0.12295950101975728
quartic,300.0,0,300,2000,60.0,0,0.125,64,1.0,0.7958278112091495,0.0689387679380774
