problem,size,seed,n_units,n_test_units,units_per_param,psi,J,var,G_test,G_train,a_domain,a_test,loss_upper,c_domain,t_max_domain,c_test,t_max_test,hoeffding_at_1,outside_support,fold,prior_std,J_softmax_N1,n_cert_units,bound,continuous_bound,selected,J_max
quartic,10.0,0,10,2000,2.0,fitted ellipse,1.5101744271883817,3.018601735016119,5.540146991190415,4.506277717605803,-6.905973558232357,0.6348010135952104,9.680344001221918,4.148706849807591,0.24103896375478495,1.6351153258650681,0.611577657050547,34.38824127288266,0.0,,,,,,,,
quartic,10.0,0,10,2000,2.0,PAC hyperposterior,0.7638610002129442,,,,1.1647322565613014,,,,,,,,0.0,0.0,0.125,0.7657104896716882,5.0,9.521928714199543,9.393870862104485,,
quartic,10.0,0,10,2000,2.0,PAC hyperprior,0.7632850252831369,,,,,,,,,,,,,0.0,0.125,0.7652452297796651,5.0,,,True,0.8314379608000575
quartic,10.0,0,10,2000,2.0,PAC hyperprior,0.7633460240809851,,,,,,,,,,,,,0.0,0.25,0.7705177860495377,5.0,,,False,0.9344475293683132
quartic,10.0,0,10,2000,2.0,PAC hyperprior,0.7667967196898106,,,,,,,,,,,,,0.0,0.5,0.7982255236703812,5.0,,,False,1.1872840230183357
quartic,10.0,0,10,2000,2.0,PAC hyperprior,0.8029453702404443,,,,,,,,,,,,,0.0,1.0,0.981272374617175,5.0,,,False,1.8071729780869976
quartic,10.0,0,10,2000,2.0,PAC hyperposterior,1.4799082677631494,,,,1.1647322565613014,,,,,,,,0.0,1.0,0.125,1.4810507897805407,5.0,9.521928714199543,9.393870862104485,,
quartic,10.0,0,10,2000,2.0,PAC hyperprior,1.4812414564923988,,,,,,,,,,,,,1.0,0.125,1.4823925289221391,5.0,,,True,1.5402879412606847
quartic,10.0,0,10,2000,2.0,PAC hyperprior,1.484822491228194,,,,,,,,,,,,,1.0,0.25,1.4891055984143469,5.0,,,False,1.6463454135096391
quartic,10.0,0,10,2000,2.0,PAC hyperprior,1.5033614426847108,,,,,,,,,,,,,1.0,0.5,1.5170270163062745,5.0,,,False,1.7579889420148191
quartic,10.0,0,10,2000,2.0,PAC hyperprior,1.5620080931326816,,,,,,,,,,,,,1.0,1.0,1.8316642170640094,5.0,,,False,2.955114094906733
quartic,10.0,1,10,2000,2.0,fitted ellipse,0.8168332408122456,2.2865571611857427,5.480132609987264,5.220567639137519,-6.905973558232357,-0.1868685650075714,9.680344001221918,4.128702056073206,0.24220686947585082,1.889000391664945,0.5293805149074694,34.38824127288266,0.039,,,,,,,,
quartic,10.0,1,10,2000,2.0,PAC hyperposterior,0.9064240219938219,,,,1.1647322565613014,,,,,,,,0.0,0.0,0.125,0.9071657248244895,5.0,9.616379428403128,9.533998192864441,,
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.9072167432366521,,,,,,,,,,,,,0.0,0.125,0.9079715755142038,5.0,,,True,0.9778116325426449
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.9038051368411244,,,,,,,,,,,,,0.0,0.25,0.9068795279203512,5.0,,,False,1.036847471198211
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.9269321841505285,,,,,,,,,,,,,0.0,0.5,0.9492926296170461,5.0,,,False,1.3896052947006314
quartic,10.0,1,10,2000,2.0,PAC hyperprior,1.042641427745503,,,,,,,,,,,,,0.0,1.0,1.3155857711130865,5.0,,,False,2.1500057194405198
quartic,10.0,1,10,2000,2.0,PAC hyperposterior,0.9566406582014759,,,,1.1647322565613014,,,,,,,,0.0436650390625,1.0,1.0,1.1081791255785984,5.0,9.616379428403128,9.533998192864441,,
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.7767363090736228,,,,,,,,,,,,,1.0,0.125,0.7777089304541034,5.0,,,False,0.8343976056211648
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.7804370642689255,,,,,,,,,,,,,1.0,0.25,0.7842468417736617,5.0,,,False,0.9194387813528078
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.8073336168732843,,,,,,,,,,,,,1.0,0.5,0.8231175590330286,5.0,,,False,1.09632158752758
quartic,10.0,1,10,2000,2.0,PAC hyperprior,0.9147397062572307,,,,,,,,,,,,,1.0,1.0,1.0718789643735387,5.0,,,True,1.8878020041220012
quartic,10.0,2,10,2000,2.0,fitted ellipse,1.3405403239402052,4.616236680356382,5.911037202737944,3.750568825722243,-6.905973558232357,1.4443126433909161,9.680344001221918,4.272336920323434,0.23406393705585746,1.4889081864490095,0.6716330859762164,34.38824127288266,0.1635,,,,,,,,
quartic,10.0,2,10,2000,2.0,PAC hyperposterior,1.0645076192662088,,,,1.1647322565613014,,,,,,,,0.0,0.0,0.125,1.0652229741009351,5.0,9.569608566018086,9.45936488742472,,
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.0651517452699806,,,,,,,,,,,,,0.0,0.125,1.0659085483684874,5.0,,,True,1.1220883668430126
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.0669465516030519,,,,,,,,,,,,,0.0,0.25,1.0698158885085798,5.0,,,False,1.1684688113467399
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.0961336938527144,,,,,,,,,,,,,0.0,0.5,1.1161393834707138,5.0,,,False,1.628327649625687
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.2183472800497492,,,,,,,,,,,,,0.0,1.0,1.4226965539839236,5.0,,,False,2.2569388898241076
quartic,10.0,2,10,2000,2.0,PAC hyperposterior,1.5712398694423781,,,,1.1647322565613014,,,,,,,,0.0,1.0,0.125,1.5717990308343937,5.0,9.569608566018086,9.45936488742472,,
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.5705848220227194,,,,,,,,,,,,,1.0,0.125,1.5709949831627275,5.0,,,True,1.6378998568923109
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.5827103798814273,,,,,,,,,,,,,1.0,0.25,1.5889029596685296,5.0,,,False,1.8394698005145198
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.606186350261083,,,,,,,,,,,,,1.0,0.5,1.6306614469943503,5.0,,,False,2.1037883697709123
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.6299417779813312,,,,,,,,,,,,,1.0,1.0,1.7175570638258542,5.0,,,False,2.4063967542447404
quartic,10.0,3,10,2000,2.0,fitted ellipse,0.807735903363584,1.046114709809435,4.632665471044346,4.293871381685431,-6.905973558232357,0.6092119396910606,9.680344001221918,3.8462130097589005,0.2599960006018192,1.341151177117762,0.7456280970122083,34.38824127288266,0.0,,,,,,,,
quartic,10.0,3,10,2000,2.0,PAC hyperposterior,0.7989128177253071,,,,1.1647322565613014,,,,,,,,0.01069287109375,0.0,0.5,0.8713236158479487,5.0,9.658231499080298,9.605705381907976,,
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.6950460947334469,,,,,,,,,,,,,0.0,0.125,0.6964862771891822,5.0,,,False,0.7929162234681293
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.7048583166633055,,,,,,,,,,,,,0.0,0.25,0.7127016204878766,5.0,,,False,0.9521396877329771
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.7588933411972041,,,,,,,,,,,,,0.0,0.5,0.8191713611624601,5.0,,,True,1.5339551247672052
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.8677681240460802,,,,,,,,,,,,,0.0,1.0,1.4683233926134642,5.0,,,False,2.638276308042812
