problem,N,repeat,method,sigma,n_samples,converged,termination,termination_status,termination_message,n_iter,n_fev,max_iter,max_fun,n_nonfinite,train_variance,train_objective,train_data,train_kl,fresh_objective,fresh_data,fresh_kl,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs
burgers,8,0,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0072645843029022,0.0764761801324613,0.6963541666666666,0.1205810189562808,0.8916666666666667,0.1897406991112715,0.791411620589487,0.4435528216930607,0.0,-0.6575235858232507,0.1445114792709611,0.1446178015064924,0.0012406021419521,0.0950668419442753
burgers,8,1,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0082832081243395,0.0943234124087639,0.9140625,0.2793460183445247,0.9453125,0.5026254701383797,0.7283554270692414,-0.9561052163747362,0.0,-1.4358212252347176,-0.0330639722612896,0.0344526339275839,0.0009062461276841,0.0291451847001064
burgers,8,2,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0080080418847501,0.1045858574500031,0.9369791666666668,0.3107116145750598,0.9572916666666668,0.4966142344422185,0.6953624986347239,-0.5442902548266781,0.0,-1.0894316114758624,0.037876602808619,0.0379794198522812,0.0086177326514456,0.0357194998386202
burgers,8,3,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0068195825442671,0.068287244331826,0.9354166666666668,0.2778779021945482,0.9682291666666668,0.4484670343783058,0.5102506819693922,-1.3158749584021785,0.0,-1.5215119353784106,-0.0988059361771567,0.0988411388458546,0.0020338459026216,0.0748361363706774
burgers,8,4,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0184299168176949,0.0871455496075967,0.9135416666666668,0.2939930060859774,0.9760416666666668,0.4767453637140615,0.5015526025345428,-1.5138974464440351,0.0,-1.732425383405643,-0.0449457963309093,0.0504241951668774,0.0034690924522954,0.0356666306760048
burgers,8,5,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0072709168307483,0.0754752389349533,0.9557291666666666,0.2836039758757411,0.9770833333333332,0.3999467140624928,0.4303186507193972,-1.021212729147483,0.0,-1.1849719158736178,-0.1496672693885938,0.1496899826738729,0.0019730012147658,0.0511322518750938
burgers,8,6,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0159304169937968,0.0970321161185698,0.6942708333333334,0.1654926436253589,0.8057291666666667,0.2244277986094353,0.9830326007960288,1.1922383029078558,0.0,-0.3457002588157373,0.1210832161369029,0.1211881921849751,0.010572203624818,0.088202567889921
burgers,8,7,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0159126669168472,0.0894864000678933,0.7072916666666667,0.1688899912308943,0.8645833333333334,0.2700037297907363,0.8719351444619209,0.9201772521237774,0.0,-0.5718804933677077,0.0542139063937619,0.0543231592530831,0.0067750496327027,0.10001095882057
burgers,8,8,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.0669923750683665,0.0689149336135474,0.8770833333333333,0.1751903716288077,0.9526041666666668,0.3095031423856785,0.4957500392820793,-1.3332599108571528,0.0,-1.60636085429035,0.0556327364176627,0.0557512310971931,0.0022272351308684,0.0331799403805461
burgers,8,9,Bayesian stacking,,,True,closed_form,,,,,,,,,,,,,,,0.2651027501560747,0.083910343796149,0.8510416666666667,0.2038579068445026,0.9255208333333332,0.3080597335235806,0.7002718495725261,-0.9042712802317742,0.0,-1.705163674393302,0.0283522076074627,0.0285703238635652,0.0058764379019908,0.0167156604406898
