study,method,N,P,rank,seconds,peak_over_design
ACE full design,Bayesian ridge,700,267,32,0.014727875124663115,3.167386302835741
ACE full design,POPS hypercube,700,267,32,0.01604895805940032,7.182530765115035
ACE full design,POPS ellipse,700,267,32,0.8605018341913819,22.765189941144996
ACE full design,Ellipse+EB,700,267,32,0.8727509579621255,52.98503611556983
ACE full design,Ellipse+PAC,700,267,32,2.0023413747549057,120.26607677902622
"P sweep (N = 4P, r = 32)",Bayesian ridge,200,50,32,0.0008559161797165871,2.891125
"P sweep (N = 4P, r = 32)",POPS hypercube,200,50,32,0.0012377919629216194,7.763425
"P sweep (N = 4P, r = 32)",POPS ellipse,200,50,32,0.04737104196101427,16.5864625
"P sweep (N = 4P, r = 32)",Ellipse+EB,200,50,32,0.05087312497198582,86.9035375
"P sweep (N = 4P, r = 32)",Ellipse+PAC,200,50,32,0.16588300000876188,293.991425
"P sweep (N = 4P, r = 32)",Bayesian ridge,400,100,32,0.0025254576466977596,2.79663125
"P sweep (N = 4P, r = 32)",POPS hypercube,400,100,32,0.00367179187014699,7.03235625
"P sweep (N = 4P, r = 32)",POPS ellipse,400,100,32,0.12483845790848136,10.110275
"P sweep (N = 4P, r = 32)",Ellipse+EB,400,100,32,0.13130183285102248,43.618090625
"P sweep (N = 4P, r = 32)",Ellipse+PAC,400,100,32,0.27194387512281537,148.479284375
"P sweep (N = 4P, r = 32)",Bayesian ridge,1000,250,32,0.011033333837985992,2.765215
"P sweep (N = 4P, r = 32)",POPS hypercube,1000,250,32,0.01754070818424225,6.802736
"P sweep (N = 4P, r = 32)",POPS ellipse,1000,250,32,0.6807227497920394,9.823497
"P sweep (N = 4P, r = 32)",Ellipse+EB,1000,250,32,0.6997599168680608,17.82087
"P sweep (N = 4P, r = 32)",Ellipse+PAC,1000,250,32,0.6578643750399351,61.4241795
"P sweep (N = 4P, r = 32)",Bayesian ridge,2000,500,32,0.04395287483930588,2.757071
"P sweep (N = 4P, r = 32)",POPS hypercube,2000,500,32,0.07393983285874128,6.76329625
"P sweep (N = 4P, r = 32)",POPS ellipse,2000,500,32,2.0964371669106185,9.77200875
"P sweep (N = 4P, r = 32)",Ellipse+EB,2000,500,32,2.268769250251353,9.77199725
"P sweep (N = 4P, r = 32)",Ellipse+PAC,2000,500,32,1.503225500229746,32.45153775
"P sweep (N = 4P, r = 32)",Bayesian ridge,4000,1000,32,0.21814133320003748,2.7533913125
"P sweep (N = 4P, r = 32)",POPS hypercube,4000,1000,32,0.37362470803782344,6.7528866875
"P sweep (N = 4P, r = 32)",POPS ellipse,4000,1000,32,7.328205666039139,9.75682025
"P sweep (N = 4P, r = 32)",Ellipse+EB,4000,1000,32,7.459375665988773,9.7568189375
"P sweep (N = 4P, r = 32)",Ellipse+PAC,4000,1000,32,4.721308832988143,17.972917375
"P sweep (N = 4P, r = 32)",Bayesian ridge,8000,2000,32,1.6138091660104692,
"P sweep (N = 4P, r = 32)",POPS hypercube,8000,2000,32,2.864595875144005,
"P sweep (N = 4P, r = 32)",POPS ellipse,8000,2000,32,26.83314337488264,
"P sweep (N = 4P, r = 32)",Ellipse+EB,8000,2000,32,27.236449458170682,
"P sweep (N = 4P, r = 32)",Ellipse+PAC,8000,2000,32,19.784584583714604,
"N sweep (P = 250, r = 32)",Bayesian ridge,500,250,32,0.007695917040109634,
"N sweep (P = 250, r = 32)",POPS hypercube,500,250,32,0.012651334051042795,
"N sweep (P = 250, r = 32)",POPS ellipse,500,250,32,0.3714120830409229,
"N sweep (P = 250, r = 32)",Ellipse+EB,500,250,32,0.39039875008165836,
"N sweep (P = 250, r = 32)",Ellipse+PAC,500,250,32,0.4343956666998565,
"N sweep (P = 250, r = 32)",Bayesian ridge,1000,250,32,0.01097574969753623,
"N sweep (P = 250, r = 32)",POPS hypercube,1000,250,32,0.018083083909004927,
"N sweep (P = 250, r = 32)",POPS ellipse,1000,250,32,0.691744000185281,
"N sweep (P = 250, r = 32)",Ellipse+EB,1000,250,32,0.7037704163230956,
"N sweep (P = 250, r = 32)",Ellipse+PAC,1000,250,32,0.6696332092396915,
