cases,seed,method,dissipation_coverage,dissipation_width,dissipation_error,steepness_coverage,steepness_width,steepness_error
8,0,Bayesian ridge,0.5166666666666667,0.2159062259044986,0.1127491644488728,0.3333333333333333,0.1705550679233861,0.2202629071386044
8,0,POPS hypercube,0.5,0.207957210405317,0.115795376713581,0.4166666666666667,0.1646134486414591,0.2443951432867206
8,0,POPS ellipse,0.5833333333333334,0.2076699061447942,0.1142583700032938,0.4,0.2477623035139051,0.2221921734960015
8,0,Ellipse+EB,0.7166666666666667,0.4790670459639889,0.1077236632146625,0.5166666666666667,0.4031909769336622,0.2208983445886978
8,0,Ellipse+PAC,0.7333333333333333,0.6969845262453258,0.1489355293237106,0.6,0.655961123582155,0.2607146133268388
8,0,Bayesian stacking,0.6,0.4578528026124117,0.1175495056703205,0.3333333333333333,0.3128703483291048,0.2964850430886923
8,0,PVI,0.4833333333333333,0.1718768121325772,0.1137812047537828,0.45,0.2424397968729104,0.2337791891062756
8,1,Bayesian ridge,0.5333333333333333,0.3711483653999599,0.1282183098132864,0.4166666666666667,0.2252382410331511,0.1831012766587411
8,1,POPS hypercube,0.5166666666666667,0.269559191020604,0.1298384328942896,0.3,0.1467388918569279,0.1764377149123153
8,1,POPS ellipse,0.8,0.6183112835306614,0.1254547406480441,0.55,0.3357222300573318,0.183344125704904
8,1,Ellipse+EB,0.9833333333333332,0.9380228485346828,0.1413934936885877,0.7166666666666667,0.4809349928815369,0.1829601988592328
8,1,Ellipse+PAC,1.0,53.94364137674343,0.5966229011888504,1.0,4.403412900408331,0.3214230816478248
8,1,Bayesian stacking,0.8666666666666667,1.0534435554683486,0.0894388434268843,0.6333333333333333,0.7353753152903831,0.1657027357363258
8,1,PVI,0.6,0.5117193717975652,0.1297671419990054,0.4333333333333333,0.2656540375745474,0.199103423457161
8,2,Bayesian ridge,0.9666666666666668,0.5294452502371961,0.0779772823391481,0.5666666666666667,0.3501546646565804,0.2467562733392385
8,2,POPS hypercube,0.65,0.3505284576003777,0.1467048076638102,0.2333333333333333,0.269823022095318,0.2656837410230294
8,2,POPS ellipse,0.9833333333333332,0.7548524960097058,0.0831480879007692,0.6333333333333333,0.5163853986119153,0.237131185429081
8,2,Ellipse+EB,1.0,0.8853567165357765,0.0758494773741103,0.7,0.5891682854657256,0.223188925198265
8,2,Ellipse+PAC,0.9666666666666668,3.519403799873454,0.1400301011549287,0.95,1.2763772201750905,0.1566917068812301
8,2,Bayesian stacking,1.0,0.8754666234643984,0.1538248059496925,0.5166666666666667,0.5886764791009467,0.3753042686891905
8,2,PVI,0.7166666666666667,0.5881738143401978,0.1446691050373094,0.3666666666666666,0.3372253053258154,0.2583732007144487
8,3,Bayesian ridge,0.2833333333333333,0.1405059968603456,0.1690746584758283,0.1666666666666666,0.1114282837091773,0.2378214881283236
8,3,POPS hypercube,0.1833333333333333,0.0928654863630832,0.1426053203015053,0.15,0.0916389469702158,0.2133134561564857
8,3,POPS ellipse,0.2666666666666666,0.1443171616327368,0.1687375253899323,0.2,0.1433162300289168,0.2378977045733776
8,3,Ellipse+EB,0.4,0.2020854138233171,0.1663575989697175,0.3,0.1816325199898131,0.2364971646651928
8,3,Ellipse+PAC,1.0,2.056920111816274,0.1771103600445571,0.6,0.556836579684566,0.2666694199144805
8,3,Bayesian stacking,0.3,0.2781682234304847,0.1782641596585195,0.3166666666666666,0.2287429558601947,0.2515808369708719
8,3,PVI,0.4,0.1662073240897851,0.1480402338568032,0.3166666666666666,0.1793945391948506,0.2202776352975449
8,4,Bayesian ridge,0.5,0.3363744209568211,0.1980390257570889,0.4,0.259428466306528,0.2966627404509737
8,4,POPS hypercube,0.3666666666666666,0.3048162481204203,0.2226427262597041,0.25,0.2258432242758623,0.2892144479626071
8,4,POPS ellipse,0.6666666666666666,0.4488388015967387,0.2028187266288532,0.35,0.3111997268992261,0.2947916976135094
8,4,Ellipse+EB,0.7666666666666667,0.5914889204681884,0.1989557465714198,0.4833333333333333,0.4311760179222942,0.2993372776882909
8,4,Ellipse+PAC,1.0,6.021934373741979,0.3090821003028646,0.8666666666666667,2.4430233134305963,0.2597754236842349
8,4,Bayesian stacking,0.6833333333333333,0.4475477651959202,0.1811897955629574,0.4666666666666667,0.3259062178222241,0.2913290395935425
8,4,PVI,0.5833333333333334,0.5088708653735527,0.2004004904937369,0.5,0.4381982534777197,0.3281790147498464
8,5,Bayesian ridge,0.6666666666666666,0.1884307177833021,0.0711523078714219,0.45,0.130884715899113,0.1552484046904724
8,5,POPS hypercube,0.5666666666666667,0.1861890473537894,0.0620699758812142,0.35,0.1346413969762613,0.1631433188675126
8,5,POPS ellipse,0.8666666666666667,0.5029781075867773,0.0719163178825272,0.5666666666666667,0.318742000331272,0.1547450131801238
8,5,Ellipse+EB,0.9,0.5477354689359266,0.0730704058818931,0.6,0.3604070706809417,0.1541250011517662
8,5,Ellipse+PAC,0.95,1.7031282989618894,0.1354026103088294,0.7333333333333333,0.8655805430290202,0.1396419396799346
8,5,Bayesian stacking,0.6833333333333333,0.4637706679965668,0.0670796508038952,0.4833333333333333,0.3915944449872038,0.19271999814011
8,5,PVI,0.7333333333333333,0.3743551688699293,0.0581198025611949,0.4833333333333333,0.3101310609791582,0.1787927826200807
8,6,Bayesian ridge,0.4,0.1775287534537383,0.1376979711710407,0.2833333333333333,0.1463116785315177,0.2081111521898863
8,6,POPS hypercube,0.2,0.0888571621735635,0.1370171375496992,0.1333333333333333,0.0711874189326667,0.2114294507302341
8,6,POPS ellipse,0.4833333333333333,0.2213705100755066,0.1354666673610569,0.2833333333333333,0.1482033286282404,0.2061499784619716
8,6,Ellipse+EB,0.5666666666666667,0.2341868432927994,0.1350523303411004,0.3333333333333333,0.1873214351664851,0.2050232656183874
8,6,Ellipse+PAC,0.7666666666666667,0.5546333190494966,0.1088338704728728,0.45,0.3894756953038595,0.1897815286198696
8,6,Bayesian stacking,0.5333333333333333,0.4877304234741569,0.1418917192689152,0.3833333333333333,0.4122898427148159,0.211822245769925
8,6,PVI,0.3,0.1670200459073178,0.1519290158311851,0.2333333333333333,0.0920321751641919,0.2152177434390026
8,7,Bayesian ridge,0.6,0.1813041210989555,0.0844748469499715,0.3666666666666666,0.1107429050654192,0.1233083629133652
8,7,POPS hypercube,0.2666666666666666,0.0817652760980925,0.0856657623386124,0.2,0.0516841611234356,0.1220737483550591
8,7,POPS ellipse,0.6833333333333333,0.2153885974860053,0.0828604686846505,0.3333333333333333,0.1155060716400118,0.1222761306009411
8,7,Ellipse+EB,0.7833333333333333,0.288145751267989,0.0829886470774507,0.45,0.1582237719779,0.1220151601517894
8,7,Ellipse+PAC,1.0,8.549155149372197,0.2910887970363003,0.9833333333333332,2.21808473727375,0.2417817963989062
8,7,Bayesian stacking,0.7166666666666667,0.5863572875200243,0.0796262818881475,0.45,0.4809999986581199,0.1746809410876565
8,7,PVI,0.5,0.1592672575427037,0.0840046871439451,0.3166666666666666,0.0942623426209456,0.1314361743465311
8,8,Bayesian ridge,0.7333333333333333,0.4156788442968363,0.063067462480598,0.5333333333333333,0.2790397770860613,0.121368752171228
8,8,POPS hypercube,0.75,0.3141017938782503,0.0477605758549567,0.45,0.2036578381115224,0.1298857428692122
8,8,POPS ellipse,0.9333333333333332,0.6965269974765973,0.0670126760065496,0.5666666666666667,0.4554552679432769,0.1142349621378912
8,8,Ellipse+EB,0.95,0.7906432142183574,0.0724040371649258,0.6333333333333333,0.4766081065639573,0.1162203037588782
8,8,Ellipse+PAC,0.9833333333333332,645.8533438749496,0.3353416826821695,0.9833333333333332,20.14933644968716,0.2951654668507323
8,8,Bayesian stacking,0.7666666666666667,0.6314297842048403,0.1224311489738424,0.5333333333333333,0.5483610594611792,0.3026503930730289
8,8,PVI,0.8333333333333334,0.4645764011300974,0.0595302041597659,0.5333333333333333,0.3029619872233627,0.154172356162612
8,9,Bayesian ridge,0.2166666666666666,0.3004144245825865,0.3265758872044525,0.3,0.2655799449680787,0.3419572992244517
8,9,POPS hypercube,0.6,0.399117683369005,0.1137161227324823,0.5833333333333334,0.3335240295498253,0.1253871392835088
8,9,POPS ellipse,0.7333333333333333,0.6602070545449306,0.3348905691563105,0.55,0.5138826720255285,0.3524996942106985
8,9,Ellipse+EB,0.8166666666666667,0.7566259528807724,0.3135824733271154,0.6166666666666667,0.6412725788798802,0.3521605908491643
8,9,Ellipse+PAC,0.8333333333333334,1.6573481065306397,0.292843902477789,0.7333333333333333,1.1064345702462988,0.2974462499912468
8,9,Bayesian stacking,0.4166666666666667,0.5608954626340744,0.3500469941974887,0.3833333333333333,0.4473740272571093,0.3527645665293759
8,9,PVI,0.4833333333333333,0.4256638069782417,0.2215778978140912,0.5333333333333333,0.3918275232658068,0.202670393064045
8,10,Bayesian ridge,0.5333333333333333,0.0865412194877714,0.0429228101527952,0.2,0.0627070298911177,0.1933497094353649
8,10,POPS hypercube,0.45,0.0947005246935866,0.0547427692604333,0.2666666666666666,0.0778894994449174,0.1849711368310385
8,10,POPS ellipse,0.6,0.1701161267887447,0.0473691131226919,0.35,0.1469162635427725,0.1923189826272454
8,10,Ellipse+EB,0.7166666666666667,0.2546419493035561,0.0450230785495729,0.45,0.2015569543188419,0.1921241531310298
8,10,Ellipse+PAC,0.7166666666666667,0.844323310856357,0.0472750016618856,0.5,0.5408727206133881,0.1899123672537014
8,10,Bayesian stacking,0.5666666666666667,0.4054171045866063,0.0487488319326367,0.2833333333333333,0.351080846146573,0.1915679933379822
8,10,PVI,0.5166666666666667,0.117432725379767,0.0555308747349694,0.4333333333333333,0.1456009392770311,0.1779673291979432
8,11,Bayesian ridge,0.3833333333333333,0.1142066346605505,0.1075152226182543,0.2666666666666666,0.0854408059693827,0.2153018702032288
8,11,POPS hypercube,0.4333333333333333,0.1479539595870334,0.1080558258125476,0.3,0.1280006608670049,0.2411748287922974
8,11,POPS ellipse,0.6333333333333333,0.2852799978014965,0.1093433923555952,0.3833333333333333,0.2155514834677602,0.2153155012467095
8,11,Ellipse+EB,0.7,0.4013697700455593,0.111592980227517,0.4666666666666667,0.2971769572553757,0.21321748377778
8,11,Ellipse+PAC,0.6166666666666667,0.4293292856605445,0.1917190068026331,0.55,0.4289778380407126,0.2415538724255077
8,11,Bayesian stacking,0.35,0.1528708515221252,0.1089225053486385,0.2666666666666666,0.2383317937410224,0.2140926852518836
8,11,PVI,0.6,0.227060917863862,0.0909007343738386,0.4,0.1972417172759186,0.2368434922442768
8,12,Bayesian ridge,0.7333333333333333,0.5779036352092892,0.095568656072059,0.5166666666666667,0.4039759429468348,0.1740261993221575
8,12,POPS hypercube,0.85,0.4294652355723626,0.0988410223088992,0.45,0.250425213032035,0.1652921220062223
8,12,POPS ellipse,0.8666666666666667,0.5283739587472824,0.0934566168969826,0.55,0.3426501375103859,0.1770805624684654
8,12,Ellipse+EB,0.8833333333333333,0.8741414598319499,0.0941528534476533,0.6166666666666667,0.5765796577269562,0.1718870793411913
8,12,Ellipse+PAC,0.9666666666666668,9.172397063292646,0.260536839126199,0.8166666666666667,2.7637753801421288,0.2674741677303766
8,12,Bayesian stacking,0.7666666666666667,0.6628288577692802,0.1554327335549848,0.55,0.4403606499999698,0.2808504297922036
8,12,PVI,0.9,0.727482362693764,0.102689968991184,0.6166666666666667,0.431501093552376,0.1261323689253625
8,13,Bayesian ridge,0.7833333333333333,0.641692318046992,0.2160485347594221,0.5666666666666667,0.5268046781872672,0.2267288594430461
8,13,POPS hypercube,0.85,0.7645016422748232,0.2169943185237076,0.5166666666666667,0.4164575397380449,0.197289070650654
8,13,POPS ellipse,0.8833333333333333,1.405209471160862,0.2250016981347097,0.6666666666666666,0.9106610249445786,0.2183716481247117
8,13,Ellipse+EB,0.9833333333333332,1.7671853134263749,0.2313900478303985,0.7333333333333333,1.2348500181729258,0.2283750171693009
8,13,Ellipse+PAC,0.9666666666666668,8.466218968925439,0.519382006756373,1.0,2.540272417862984,0.4502557814036058
8,13,Bayesian stacking,0.8,1.1352755649988668,0.1568792123123432,0.5833333333333334,0.7541675510502577,0.3134478384169496
8,13,PVI,0.8166666666666667,0.7935169177062202,0.1942798102877699,0.4666666666666667,0.3911927648770436,0.2569341758722879
8,14,Bayesian ridge,0.6,0.2242408794954299,0.1271886239779117,0.45,0.2113737863112191,0.1922445641431858
8,14,POPS hypercube,0.2666666666666666,0.1492683797950815,0.121365786781262,0.3333333333333333,0.1131503621340111,0.1749647054149596
8,14,POPS ellipse,0.4666666666666667,0.2388736393538019,0.1276219986464013,0.4666666666666667,0.2053434093562642,0.1908071665060274
8,14,Ellipse+EB,0.75,0.4452307614237114,0.1252247051232464,0.5333333333333333,0.3249960691210238,0.1820993179767999
8,14,Ellipse+PAC,0.85,1.1579260992908424,0.1090578207387698,0.6333333333333333,0.5964922921197734,0.2056916900377046
8,14,Bayesian stacking,0.6333333333333333,0.3606436754892749,0.1549250888109051,0.5,0.2660918046044538,0.3248065014063465
8,14,PVI,0.5666666666666667,0.2141734558300251,0.089862526290144,0.4333333333333333,0.2127021110502484,0.185889832362058
8,15,Bayesian ridge,0.65,0.2957258906743372,0.1261214631264376,0.4833333333333333,0.2595494363930313,0.1799114590112422
8,15,POPS hypercube,0.4833333333333333,0.2377499519810008,0.1403272602274902,0.4333333333333333,0.1652286598165167,0.1800287913888522
8,15,POPS ellipse,0.5833333333333334,0.3433588827623105,0.1254846673956251,0.4333333333333333,0.2493077699441897,0.1800173243074444
8,15,Ellipse+EB,0.7666666666666667,0.4504984278092402,0.1228719330921051,0.5,0.3437839303736263,0.1790059953390772
8,15,Ellipse+PAC,0.95,2.0900591844092107,0.2544492059397819,0.7666666666666667,1.2886266217407942,0.297725596914056
8,15,Bayesian stacking,0.6833333333333333,0.5342583515340782,0.1386480773999072,0.5166666666666667,0.3512732885566301,0.1856395580421059
8,15,PVI,0.6666666666666666,0.4173363002243306,0.1576159775903214,0.4666666666666667,0.3079151464699713,0.2049122045062276
8,16,Bayesian ridge,0.1333333333333333,0.1375060109139582,0.2083904306480702,0.1166666666666666,0.1390307498234083,0.2839418614718424
8,16,POPS hypercube,0.05,0.0869797754390301,0.2165471930584331,0.0833333333333333,0.0937848608013258,0.2893336680887429
8,16,POPS ellipse,0.2333333333333333,0.1658439387690685,0.2041362982074446,0.2666666666666666,0.1368662530814834,0.2784753360747569
8,16,Ellipse+EB,0.3666666666666666,0.2320111907511283,0.2074449637539333,0.3166666666666666,0.2386617675174976,0.2825837387065309
8,16,Ellipse+PAC,0.6833333333333333,0.2300080109085595,0.2098153104883386,0.5,0.2003603493430763,0.3096613915604551
8,16,Bayesian stacking,0.4,0.4099912742238991,0.2170972183148719,0.2666666666666666,0.3617114687366214,0.2905650020518706
8,16,PVI,0.05,0.0618786499378898,0.226784442879808,0.1833333333333333,0.1070799546375151,0.2913649345351357
8,17,Bayesian ridge,0.1833333333333333,0.1537915737455877,0.1644379038611366,0.15,0.1319757776829266,0.2198974796041439
8,17,POPS hypercube,0.1,0.1020566660588267,0.1484695037765503,0.05,0.089569801325965,0.2085999430329777
8,17,POPS ellipse,0.6666666666666666,0.3738016816731074,0.1616686242791954,0.5166666666666667,0.2531060666055111,0.2100061727036586
8,17,Ellipse+EB,0.9,0.5408698799799108,0.1690076414188109,0.5666666666666667,0.389856817160262,0.217465278055268
8,17,Ellipse+PAC,0.9,0.9732952871377932,0.0788402194264731,0.5333333333333333,0.6517484690575962,0.1861786238614974
8,17,Bayesian stacking,0.6333333333333333,0.5860808285309969,0.2011033543570922,0.4,0.4199734006874634,0.3329700739204106
8,17,PVI,0.2666666666666666,0.1792416741845204,0.1686500547497338,0.2166666666666666,0.1323280171217733,0.2410501538401838
8,18,Bayesian ridge,0.2,0.0472952020146782,0.064640774883062,0.2333333333333333,0.0370323911419468,0.1816902613660518
8,18,POPS hypercube,0.2666666666666666,0.0428632615518393,0.0581327997768752,0.2333333333333333,0.0446984356719422,0.1786550383699528
8,18,POPS ellipse,0.2833333333333333,0.0678663223929669,0.0647014080789498,0.3166666666666666,0.0616586960194132,0.1806625882026384
8,18,Ellipse+EB,0.5666666666666667,0.1532928233481432,0.0678568982645839,0.3833333333333333,0.1196845505769087,0.1809199887450175
8,18,Ellipse+PAC,0.9166666666666666,2.480686453837195,0.1058912657100025,0.7666666666666667,1.2266086641985008,0.1840743970725362
8,18,Bayesian stacking,0.5333333333333333,0.365607522303646,0.0662259745046152,0.4166666666666667,0.2689859205230808,0.1848711581448212
8,18,PVI,0.4833333333333333,0.0912848267880402,0.056797766611094,0.3666666666666666,0.105080020861497,0.1756286631531286
8,19,Bayesian ridge,0.7,0.3141880632755451,0.0617197405733765,0.4833333333333333,0.2332840908046811,0.1508686465461353
8,19,POPS hypercube,0.6333333333333333,0.2276305923542266,0.0669946753329135,0.35,0.1561809082112265,0.1189914321867395
8,19,POPS ellipse,0.85,0.3798226294030876,0.0653327423754616,0.4666666666666667,0.2795219929843755,0.1502785480772887
8,19,Ellipse+EB,0.8833333333333333,0.4274225090771774,0.0640810162984225,0.55,0.3100080821357174,0.1481592965062405
8,19,Ellipse+PAC,0.85,0.5644279038887237,0.0780652155234497,0.5166666666666667,0.4123216217292754,0.1489866032618512
8,19,Bayesian stacking,0.7,0.2598786180972164,0.0430906752205765,0.4833333333333333,0.1926844864750249,0.1636808933657952
8,19,PVI,0.9,0.5473491876211475,0.0558088398187754,0.6,0.4161945157314681,0.1172555429948985
16,0,Bayesian ridge,0.7,0.211814845794113,0.0575424946582484,0.45,0.1524135437561365,0.1254330098631125
