N,repeat,method,sigma,n_samples,converged,n_nonfinite,train_objective,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor
10,0,POPS ellipse,,,True,0,1.496189014267757,0.018534000031650066,54.07000158005787,1.0,1096.0478378386833,1.0,1414.6770284381053,1096.0478378386833,5.465473673906237,0.0,5.450296865594722
10,0,Ellipse+EB,,,True,0,1.496189014267757,0.007152624893933535,54.07000158005787,1.0,1152.9862527605228,1.0,1595.0433417702177,1152.9862527605228,5.495249726688606,0.0,5.47947241326344
10,0,Ellipse+PAC,,,True,0,,0.0866651670075953,118.3873574930278,1.0,2621.837788283479,1.0,3864.3109422959205,2621.837788283479,5.745591834110178,0.0,5.721645558129628
10,0,Bayesian stacking,,,True,0,,0.00726570887491107,81.78003292882383,0.384,74.11305064744259,0.6995,141.8438575633956,1197.3831591806709,7.746808982088835,0.0,6.735422871741303
10,0,pacm,1.0,1.0,True,0,2.4086859038572648,0.016261665616184473,176.76219792415836,0.7325,223.6541267774761,0.901,367.9694917446337,415.91263567445196,5.921978254665706,0.0,5.648909288127677
10,0,pacm,0.3,1.0,True,0,4.457954618162434,0.02067237487062812,298.7208555569217,0.2185,96.16748375050449,0.4095,158.22064465298834,4299.82437480256,22.67906816542887,0.0,7.716943878201251
10,0,pacm,0.1,1.0,True,0,26.93097619341045,0.01935429172590375,326.2968621274954,0.0945,33.84410919813661,0.1395,55.68240496889589,6086.199809188474,180.79817039143444,0.0,9.208516191482472
10,0,pacm,0.03,1.0,True,0,288.0782033238511,0.03210808290168643,329.88558174150285,0.0335,10.22147593359467,0.0565,16.816999347868144,6643.732653633948,1991.277884115432,0.0,9.826545365530654
10,0,pacm,0.01,1.0,True,0,2588.6073239880734,0.09995929198339581,330.2059377657435,0.012,3.4091848360118737,0.021,5.609000063830426,6792.133544510291,17919.21718395996,0.0,10.144729649777695
10,0,pacm,0.003,1.0,True,0,28762.770868367785,0.37254250003024936,330.24262827533926,0.002,1.0230497626064485,0.0045,1.683184238984828,6842.82465966393,198978.0797146249,0.0,10.310501923592776
10,0,pacm,1.0,4.0,True,0,2.227205069647578,0.05373404175043106,119.71517507503921,0.8655,244.9374189326925,1.0,402.9860698415786,332.6161341482216,5.1438169737383,0.0,5.1327206444628235
10,0,pacm,0.3,4.0,True,0,2.4564414004411006,0.1106291669420898,221.97493460404922,0.609,168.54648249089664,0.8875,277.3030142172497,1682.983146781247,5.893824842063501,0.0,5.634230733197872
10,0,pacm,0.1,4.0,True,0,7.656093084651934,0.12951966701075435,256.8891137820211,0.5265,141.24593042528318,0.705,232.38647092481725,2750.074479516904,7.281301913369809,0.0,6.134212370692718
10,0,pacm,0.03,4.0,True,0,76.90245335707084,0.1559035419486463,251.19059656364814,0.5,116.9325018544459,0.653,192.38452648190594,3127.0022305591892,8.823764490648493,0.0,6.424527113422231
10,0,pacm,0.01,4.0,True,0,686.581978346378,0.24504199996590614,256.6492837851222,0.4915,152.95153832405614,0.666,251.6452552411871,2477.251578248655,7.386444211492566,0.0,6.4330672768997434
10,0,pacm,0.003,4.0,True,0,7676.628246112827,0.3282234170474112,269.17782693306253,0.4685,135.2501482631311,0.586,222.52184223851648,3065.538768489614,8.888834583154571,0.0,6.723642620904523
10,0,pacm,1.0,16.0,True,0,2.1844221345748753,0.05846479069441557,106.19345551358596,0.8935,285.19134529124295,1.0,469.214299279165,326.5959207124616,5.00048120251899,0.0,4.998629259352235
10,0,pacm,0.3,16.0,True,0,2.009976298798584,0.2001970000565052,107.59795090985197,0.8835,270.55590527835403,1.0,445.13517540786705,323.2867744785787,5.014952601489243,0.0,5.010803969562901
10,0,pacm,0.1,16.0,True,0,2.4119651212084623,0.2943735830485821,260.8298360084221,0.5005,94.01501330048038,0.642,154.67926820309722,3827.549590985472,12.491496168131285,0.0,6.468847923269637
10,0,pacm,0.03,16.0,True,0,7.8083983233382686,0.42207658290863037,313.5258952274653,0.616,238.79629414487917,0.939,392.8823145499968,2057.2851102369104,6.096248113511929,0.0,5.904753105137729
10,0,pacm,0.01,16.0,True,0,71.32957195284699,0.33142754063010216,323.7500045573926,0.54,78.14665037689532,0.66,128.5716639127434,5404.393541220342,28.83208681798999,0.0,6.270335192308835
10,0,pacm,0.003,16.0,True,0,629.2121678560853,0.6932796249166131,257.45754381984955,0.5475,111.62295420693184,0.6355,183.6489329232253,3526.897164423924,9.554511236409722,0.0,6.317749126651564
10,0,pacm,1.0,64.0,True,0,2.180082115567366,0.11973954131826758,106.86243308305625,0.8865,281.81505688984345,1.0,463.65942244793007,332.0699918644996,5.0320302051509245,0.0,5.029274146842476
10,0,pacm,0.3,64.0,True,0,1.9643061841346867,0.4845116250216961,103.43631810105501,0.875,245.40172031960472,1.0,403.74996697068644,331.3126766215409,5.084820555501871,0.0,5.075581507703329
10,0,pacm,0.1,64.0,True,0,2.016194982030771,0.519894499797374,308.63651050677817,0.573,156.48164854130377,0.7445,257.45320916164195,3565.4929072974055,7.76001264668937,0.0,6.010095999688127
10,0,pacm,0.03,64.0,True,0,3.0035568691934964,0.9152075001038611,371.2917610047172,0.4905,95.08200210501347,0.665,156.43474364975376,6095.614876793415,27.462841344873798,0.0,6.499063785526006
10,0,pacm,0.01,64.0,True,0,10.151062870495235,1.0145349157974124,359.2867201963282,0.409,74.99774095306809,0.608,123.3908849263201,6268.2981818692815,62.609974350334504,0.0,6.7832303490712125
10,0,pacm,0.003,64.0,True,0,81.15400967833871,1.1484137079678476,398.6014519201524,0.4325,89.54647395176664,0.5665,147.3273530979355,6583.99400573806,28.838301724094585,0.0,6.876594192505945
10,0,pac2t,1.0,16.0,True,0,2.3259563238665706,0.1184937497600913,165.65290859000407,0.8255,229.3208554290406,0.9235,377.29274140613256,375.04056665706213,5.578654002867984,0.0,5.477117984020932
10,0,pac2t,0.3,16.0,True,0,4.235153398569404,0.1699060001410544,293.1758296271866,0.2485,107.17004252426783,0.45,176.32272941308895,3978.06591643113,16.53121974872188,0.0,7.4735042571493535
10,0,pac2t,0.1,16.0,True,0,26.576301053812827,0.19469987507909536,325.65094578135,0.104,36.84534819268789,0.15,60.62022750470806,6012.876234452214,142.9182638420206,0.0,9.112169612898446
10,0,pac2t,0.03,16.0,True,0,287.62168484268,0.5259511251933873,329.5897116797965,0.038,10.766447359155162,0.0605,17.713619774096014,6626.715755734239,1737.1324863174361,0.0,9.78489883673132
10,0,pac2t,0.01,16.0,True,0,2588.083431910532,2.313662082888186,330.1178936243347,0.0125,3.6707763275758336,0.0225,6.039386435780903,6784.968513483478,16701.637486655203,0.0,10.129732963615108
10,0,pac2t,0.003,16.0,False,0,28762.246506553707,5.1593211251311,330.26260549445493,0.0015,0.8354014812010022,0.0035,1.3744537731963964,6847.1333592828005,493991.38873730914,0.0,10.314070078693977
10,0,pac2t_ensemble,1.0,16.0,True,0,1.2442405442756348,0.03128137532621622,175.95971215274727,0.003,0.9498406044087381,0.0035,1.023074793110522,3985.56603908135,,,
10,0,pac2t_ensemble,0.3,16.0,True,0,2.6218503544597365,0.031580500304698944,326.40294940876214,0.095,8.522013972632246,0.12,10.57249595086985,6628.6548392000395,,,
10,0,pac2t_ensemble,0.1,16.0,True,0,24.208311647934636,0.04290170827880502,326.17879830178236,0.022,9.850691516227474,0.031,12.267286155809888,6619.11860249278,,,
10,0,pac2t_ensemble,0.03,16.0,True,0,284.63062059539965,0.038288749754428864,330.5323995845999,0.0125,3.4980146006291597,0.0155,4.670080284886807,6761.784096119501,,,
10,0,pac2t_ensemble,0.01,16.0,True,0,2584.5258763791853,0.04737316584214568,330.4633258793498,0.005,0.8014822086654452,0.0065,0.8523072632741349,6850.573932071739,,,
10,0,pac2t_ensemble,0.003,16.0,True,0,28758.01697629918,0.0590077918022871,330.2404761612303,0.0,0.05233737839016012,0.0,0.06724843046131772,6863.640208393272,,,
10,0,pvi,1.0,1.0,True,0,1.1778118111090876,1.2944894577376544,330.2508196190879,0.0,0.08517557369445711,0.0015,0.1401360798166309,6862.467247509918,33945579.598563045,0.0,10.350042921565077
