problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,bound,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_nonfinite
quartic,10.0,0,Bayesian ridge,10,10,5,2.0,False,0.0044728750362992,61.19873857745985,0.145,33.14618793372927,0.2305,54.534142083511554,1118.3199135052864,3134.321377285546,0.0,9.093311836862624,,,,,,,,,,,,,,
quartic,10.0,0,POPS hypercube,10,10,5,2.0,False,0.1440781247802078,61.19873857745985,0.9495,1310.8198961687908,0.97,1768.4887130817435,1313.2272901005856,,,,,,,,,,,,,,,,,
quartic,10.0,0,POPS ellipse,10,10,5,2.0,False,0.0040796673856675,61.19873857745962,1.0,1269.565911790366,1.0,1638.638086307916,1269.565911790366,5.56363032379925,0.0,5.545004377559082,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+EB,10,10,5,2.0,False,0.0065738330595195,61.19873857745962,1.0,1782.980527127318,1.0,2779.842682328148,1782.980527127318,5.866596169116365,0.0,5.842035986302057,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+PAC,10,10,5,2.0,False,0.0826334580779075,74.85970464198124,1.0,3516.8902954909463,1.0,5275.299784885496,3516.8902954909463,5.759403369964454,0.0,5.727730416560566,9.397870893440498,9.680344001221918,1.259765625,4.776586411098173,0.0318719694975222,0.0024283804795502,4.5894125128448024,0.0,4.774157459040568,0.0,5.701239703622204,,,
quartic,10.0,0,Bayesian stacking,10,10,5,2.0,False,0.0062332078814506,61.53649264724262,0.778,138.5413232608539,0.9045,216.53265319538295,354.056082947614,5.859203283953702,0.0,5.644189289372801,,,,,,,,,,,,,,
quartic,10.0,0,PVI,10,10,5,2.0,False,1.3723893342539668,47.8369060220233,0.897,147.51225787118727,1.0,242.69621731134148,206.0979736246449,5.014608923642966,0.0,5.014691921634536,,,,,,,,,,,,0.0,True,
quartic,10.0,0,PVI (lamb=1),10,10,5,2.0,False,1.8752573751844464,47.03949779135882,0.867,147.824071405062,1.0,243.20923206869105,207.07068445520895,5.023565144495559,0.0,5.023792185454838,,,,,,,,,,,,1.0,True,
quartic,10.0,0,POPS ellipse (free center),10,10,5,2.0,False,0.0032353750430047,147.18164626433105,0.8465,596.4022386144507,0.914,769.7807682743712,625.1257161599102,inf,0.085,5.925477833256618,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+EB (free center),10,10,5,2.0,False,0.0039905421435832,140.956031780946,0.955,687.3199725784598,1.0,965.2953194781132,689.1761690643947,5.404001055866489,0.0,5.396517489669402,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+PAC (free center),10,10,5,2.0,False,0.3042087918147445,1260.0995098338858,1.0,11371.847304292747,1.0,19747.655951844274,11371.847304292747,7.03971994603488,0.0,6.844025295215817,9.656613835445947,9.680344001221918,3.75,5.580835623226189,0.0490288261542388,5.589117064009394,4.02674938606552,0.0,5.402614123127998,0.0258,,,,
quartic,10.0,1,Bayesian ridge,10,10,5,2.0,False,0.0033940002322196,71.5715515284125,0.0915,26.16879953516177,0.1315,43.054514590296094,1555.0982062474257,9169.97070823211,0.0,9.500584269841696,,,,,,,,,,,,,,
quartic,10.0,1,POPS hypercube,10,10,5,2.0,False,0.116835500113666,71.5715515284125,0.688,655.072900742497,0.8115,830.1452334588396,794.2795484247422,,,,,,,,,,,,,,,,,
quartic,10.0,1,POPS ellipse,10,10,5,2.0,False,0.0048755411989986,71.57155152841277,0.938,531.7588887757405,0.954,686.3451198464318,550.6027869605189,inf,0.0425,5.552321192181943,,,,,,,,,,,,,,
quartic,10.0,1,Ellipse+EB,10,10,5,2.0,False,0.0054393340833485,71.57155152841277,1.0,831.3712329509275,1.0,1309.73061218335,831.3712329509275,5.581437522577315,0.0,5.574046327866747,,,,,,,,,,,,,,
quartic,10.0,1,Ellipse+PAC,10,10,5,2.0,False,0.0808889591135084,63.349448832061825,1.0,1383.2006013406883,1.0,4398.458591530092,1383.2006013406883,5.627722295119134,0.0,5.617237584062084,9.546576416459365,9.680344001221918,1.25244140625,5.427628616957845,0.0441126391400019,0.5978927310316169,4.074835160361515,0.0,5.29608019825412,0.009925,5.607656173787567,,,
quartic,10.0,1,Bayesian stacking,10,10,5,2.0,False,0.0056042079813778,125.0328446498366,0.7165,258.20286426309497,1.0,446.5729111348054,525.2090152146837,5.493017469100847,0.0,5.468351592330238,,,,,,,,,,,,,,
quartic,10.0,1,PVI,10,10,5,2.0,False,1.35950666712597,107.6331726253076,0.765,140.4801567330207,0.8255,231.12657306202,1199.0816987798885,6.6678703249833475,0.0,5.814619571477754,,,,,,,,,,,,0.0,True,
